,stock,ticker,price,change,change_percentage,group,capitalization
0,CENERGY HOLDINGS S.A. (CENER),CENER,3.6400,-0.0200,-0.55,Industry,692192159.0
1,CNL CAPITAL Α.Ε.Κ.Ε.Σ. - Δ.Ο.Ε.Ε. (CNLCAP),CNLCAP,8.6000,-0.1500,-1.71,Financial,6746700.0
3,TITAN CEMENT INTERNATIONAL S.A. (TITC),TITC,14.7000,0.0200,0.14,Building Materials,1151384483.0
6,ΑΒΑΞ Α.Ε. - ΕΡΓ - ΤΟΥΡ - ΕΜΠ - ΒΙΟΜ - ΟΙ (ΑΒΑΞ),ΑΒΑΞ,1.0800,0.0100,0.93,Construction,155867237.0
7,ΑΒΕ Α.Ε (ΑΒΕ),ΑΒΕ,0.4830,0.0040,0.84,Other,71798475.0
10,ΑΝΩΝΥΜΗ ΕΤΑΙΡΕΙΑ ΑΔΜΗΕ ΣΥΜΜΕΤΟΧΩΝ (ΑΔΜΗΕ),ΑΔΜΗΕ,2.6000,0.0300,1.17,Energy and Oil,603200000.0
17,ΑΛΟΥΜΥΛ ΒΙΟΜΗΧΑΝΙΑ ΑΛΟΥΜΙΝΙΟΥ Α.Ε (ΑΛΜΥ),ΑΛΜΥ,2.1700,0.0200,0.93,Building Materials,70337688.0
20,ALPHA ΥΠΗΡΕΣΙΩΝ ΚΑΙ ΣΥΜΜΕΤΟΧΩΝ Α.Ε (ΑΛΦΑ),ΑΛΦΑ,1.2950,0.0400,3.19,Financial,3038045521.0
21,ALPHA TRUST-ΑΝΔΡΟΜΕΔΑ Α.Ε.Ε.Χ. (ΑΝΔΡΟ),ΑΝΔΡΟ,8.0000,0.1000,1.27,Financial,12836352.0
27,A.S. ΕΜΠΟΡ-ΒΙΟΜ. ΕΤΑΙΡ. Η/Υ & ΠΑΙΧΝΙΔΙΩΝ (ΑΣΚΟ),ΑΣΚΟ,2.3400,0.0200,0.86,Consumer and Retail,30714887.0
28,ALPHA ΑΣΤΙΚΑ ΑΚΙΝΗΤΑ Α.Ε. (ΑΣΤΑΚ),ΑΣΤΑΚ,9.0000,-0.2000,-2.17,real_estate,126000000.0
